WorkerID,Type,Agent,Grammar,Stimulus,StimulusNum,Harm,Other Harm,Harmer,Other Harmer,Blame,responsible,other,police stop,conservative,police trust,police honest,police listen,police rights,political party,age,race,gender
138,Control,Control,Agentive,Patient beats local doctor accused of fertility fraud during confrontation,7,Doctor,,Patient,,2,2,,5,1,No,No,No,No,Democratic,55-64,White,Woman
11,Target,police officer,Non-Agentive,Jacksonville man fatally shot during confrontation with police officer,8,Man,,Police officer,,1,2,,,,,,,,,,,
11,Control,Control,Non-Agentive,Restaurant owner of Italian pizza shop set on fire after shouting match with waiter,6,Owner,,Waiter,,3,3,,,,,,,,,,,
11,Control,Control,Agentive,Patient beats local doctor accused of fertility fraud during confrontation,7,Doctor,,Patient,,3,3,,,,,,,,,,,
11,Target,police chief,Agentive,Police chief kills fisherman in New Years Day shooting incident,32,Fisherman,,Police chief,,1,2,,,,,,,,,,,
11,Target,club bouncer,Agentive,Club bouncer kills state trooper during shootout outside of popular bar,35,Club bouncer,,State trooper,,2,2,'There is not enough information in the headline for me to determine if the intention was to shoot the police officer (state trouper) it could have been a stray bullet as they both were trying to control the shooting or something like that'},,,,,,,,,,
11,Target,protesters,Non-Agentive,Cops shot during Friday confrontation with protesters; dash cam footage to be released early next week,42,Cops,,Protesters,,3,3,,,,,,,,,,,
11,Control,Control,Agentive,Teacher chokes nurse after violent dispute at local daycare,14,Nurse,,Teacher,,3,3,,,,,,,,,,,
11,Control,Control,Non-Agentive,Drunk driver beaten after Cobb County crash with father,11,,They both were harmed it's not a binary,Driver,,3,3,,,,,,,,,,,
11,Control,Control,Agentive,Young mom stabs neighbor 17 times during road rage incident; community members express devastation,34,Neighbor,,Mom,,1,1,,,,,,,,,,,
11,Control,Control,Agentive,Nurse assaults Chicago superintendent after car accident,0,,who other': 'It seems like both were involved but for the specific incident the headline is describing it sounds like the Superintendent'},Nurse,,2,2,,,,,,,,,,,
11,Control,Control,Non-Agentive,Indigenous community leader targeted in racist hate crime incident with vandal,15,Vandal,,Community leader,,0,0,,,,,,,,,,,
11,Target,teacher,Non-Agentive,Criminal probe focuses on school where cop was shot after fight with teacher,2,,The cop was shot but the headline does not really describe the teacher's role,,unclear'},2,2,'It was not clear who actually did the shooting'},,,,,,,,,,
11,Control,Control,Non-Agentive,Wife stabbed 36 times after fight with cheating husband,36,Wife,,Husband,,1,1,,,,,,,,,,,
11,Target,teen,Agentive,Video footage shows teen shooting a county sheriff after confrontation; sparks outrage,10,Sheriff,,Teen,,3,2,,,,,,,,,,,
11,Target,security guard,Non-Agentive,Student shot and killed in controversial incident with campus security guard,44,Student,,Security guard,,1,1,,,,,,,,,,,
11,Target,officers,Agentive,Officers shoot protesters during clash outside Texas church service,31,Protesters,,Officers,,1,1,,4,1,No,Yes,No,No,Democratic,25-34,American Indian or Alaskan Native,Woman
82,Control,Control,Non-Agentive,Local doctor accused of fertility fraud beaten during confrontation with patient,40,Doctor,,Patient,,1,1,,,,,,,,,,,
82,Target,security guard,Agentive,Campus security guard shoots and kills student in controversial incident,3,Student,,Security guard,,0,0,,,,,,,,,,,
82,Control,Control,Non-Agentive,Indigenous community leader targeted in racist hate crime incident with vandal,15,Community leader,,Vandal,,0,0,,,,,,,,,,,
82,Control,Control,Agentive,Young mom stabs neighbor 17 times during road rage incident; community members express devastation,34,Neighbor,,Mom,,0,0,,,,,,,,,,,
82,Target,man,Non-Agentive,Jacksonville police officer fatally shot during confrontation with man,18,Police officer,,Man,,4,4,,,,,,,,,,,
82,Target,officers,Non-Agentive,Protesters shot during clash with officers outside Texas church service,27,Protesters,,Officers,,1,0,,,,,,,,,,,
82,Target,man,Agentive,Fisherman kills police chief in New Years Day shooting incident,22,Police chief,,Fisherman,,4,4,,,,,,,,,,,
82,Control,Control,Non-Agentive,Drunk driver beaten after Cobb County crash with father,11,Driver,,Father,,2,3,,,,,,,,,,,
82,Target,club bouncer,Non-Agentive,State trooper killed during shootout with club bouncer outside popular bar,47,State trooper,,Club bouncer,,4,4,,,,,,,,,,,
82,Control,Control,Agentive,Cheating husband stabbed wife 36 times after fight,4,Wife,,Husband,,0,0,,,,,,,,,,,
82,Control,Control,Agentive,Waiter at Italian pizza shop sets restaurant owner on fire after shouting match,24,Owner,,Waiter,,4,4,,,,,,,,,,,
82,Control,Control,Non-Agentive,Chicago superintendent assaulted after car accident with nurse,25,Nurse,,Superintendent,,4,4,,,,,,,,,,,
82,Control,Control,Agentive,Teacher chokes nurse after violent dispute at local daycare,14,Nurse,,Teacher,,4,3,,,,,,,,,,,
82,Target,sheriff,Agentive,Video footage shows county sheriff shooting teen after confrontation; sparks outrage,17,Teen,,Sheriff,,1,2,,,,,,,,,,,
82,Target,teacher,Agentive,Criminal probe focuses on school where teacher shot cop after fight,16,Cop,,Teacher,,4,4,,,,,,,,,,,
82,Target,cops,Non-Agentive,Protesters shot during Friday confrontation with cops; dash cam footage to be released early next week,19,Protesters,,Cops,,3,1,,4,2,No,No,No,Yes,Democratic,55-64,White,Woman
